Hotel_ID,hotel_name,City,ADDRESS
AF6B24F8-0780-EF11-81A1-005056816226,סיידא ריזורטס בע"מ- מלון מדיטרה בוטיק נתניה,נתניה,שדרות ניצה 20
B16B24F8-0780-EF11-81A1-005056816226,ס.נ. נדלן - מלון אלמוג - אלמוג טאוור-חדרים על החוף,חיפה,דוד אלעזר 10
B56B24F8-0780-EF11-81A1-005056816226,שירת הגליל שרון סעדה,אליפלט,הגפן 95
B96B24F8-0780-EF11-81A1-005056816226,פרימה סיטי,תל אביב - יפו,מאפו 9
C16B24F8-0780-EF11-81A1-005056816226,סוויטות בכנרת מגדלי המלכים,טבריה,דרך גדוד ברק 17
C36B24F8-0780-EF11-81A1-005056816226,בת גלים מ.ת בע"מ,חיפה,בת גלים 15
C76B24F8-0780-EF11-81A1-005056816226,כפר הנופש כינר בע"מ,טבריה,הרודס 1
CD6B24F8-0780-EF11-81A1-005056816226,אתנחתא בירדן,משמר הירדן,המושבה 41
D36B24F8-0780-EF11-81A1-005056816226,כפר הנופש ביאנקיני,קליה,חוף ביאנקיני 10
D56B24F8-0780-EF11-81A1-005056816226,גי.אל.ריל אסטייט,טבריה,השומר 34
D76B24F8-0780-EF11-81A1-005056816226,מלון ניר עציון אגש"ח בע"מ,ניר עציון,ניר עציון 1
D96B24F8-0780-EF11-81A1-005056816226,א.מ.ש קרלטון תל אביב תיירות ונכסים בע"מ,תל אביב - יפו,אליעזר פרי 10
DB6B24F8-0780-EF11-81A1-005056816226,מלון וורט ים המלח (חברת מלונות אפריקה ישראל בע'מ),עין גדי,עין בוקק 1
DD6B24F8-0780-EF11-81A1-005056816226,מלון וורט אילת (חברת אפדור בע"מ),אילת,קאמן 1
E16B24F8-0780-EF11-81A1-005056816226,בראון בובו,תל אביב - יפו,יבנה 42
E36B24F8-0780-EF11-81A1-005056816226,פרימה רויאל,ירושלים,מנדלי מוכר ספרים 3
E56B24F8-0780-EF11-81A1-005056816226,פרימה פארק,ירושלים,זאב וילנאי 2
E76B24F8-0780-EF11-81A1-005056816226,מלון רויאל פלאזה טבריה,טבריה,אילעזר קפלן 1
E96B24F8-0780-EF11-81A1-005056816226,הוואנה ביץ קלאב,תל אביב - יפו,גאולה 1
EB6B24F8-0780-EF11-81A1-005056816226,הוואנה ביץ קלאב,תל אביב - יפו,הרברט סמואל 52
ED6B24F8-0780-EF11-81A1-005056816226,אליה ע.א. יזמות ואחזקות בע"מ,מגדל,האלון 2
F16B24F8-0780-EF11-81A1-005056816226,מלון פרנקי,תל אביב - יפו,הרב ידידה פרנקל 29
F56B24F8-0780-EF11-81A1-005056816226,תיירות ניר דוד גן השלושה אגש"ח בע"מ,ניר דוד (תל עמל),ניר דוד 1
F76B24F8-0780-EF11-81A1-005056816226,כפר הנופש רמות אורכידיאה שותפות מוגבלת,רמות,מושב רמות 1
F96B24F8-0780-EF11-81A1-005056816226,מלון נוף תבור בעמ,מזרע,קיבוץ מזרע 1
FB6B24F8-0780-EF11-81A1-005056816226,ברוש אשלד בע"מ- מלון נוף כנרת        (דו"ח מתוקן),טבריה,ירושלים 37
FD6B24F8-0780-EF11-81A1-005056816226,אנג'וי ים המלח - ישראל קנדה מלונות החזקות בע"מ,ערד,עין בוקק- מלונות ים המלח 1
FF6B24F8-0780-EF11-81A1-005056816226,פליי אילת - ישראל קנדה מלונות אילת בע"מ,אילת,תרשיש 12
016C24F8-0780-EF11-81A1-005056816226,פליי מידטאון - ישראל קנדה מלונאות בע"מ,תל אביב - יפו,דרך מנחם בגין 144
036C24F8-0780-EF11-81A1-005056816226,פליי סי פורט- ישראל קנדה מלונות החזקות בע"מ,תל אביב - יפו,צידון 1
056C24F8-0780-EF11-81A1-005056816226,גלי כנרת - ישראל קנדה מלונות כנרת בע"מ,טבריה,אליעזר קפלן 1
076C24F8-0780-EF11-81A1-005056816226,מצפה השלום תיירות כפר חרוב אגש"ח בע"מ,כפר חרוב,כפר חרוב 1
